iter	Passed	Remaining
0	5	5913
1	9	4981
2	14	4682
3	19	4915
4	23	4712
5	27	4561
6	31	4484
7	37	4630
8	40	4512
9	44	4400
10	47	4309
11	52	4350
12	56	4258
13	59	4164
14	62	4119
15	68	4209
16	71	4135
17	74	4082
18	78	4052
19	81	3996
20	86	4013
21	89	3962
22	92	3921
23	95	3877
24	100	3907
25	104	3928
26	108	3897
27	110	3851
28	116	3910
29	120	3911
30	124	3885
31	127	3871
32	133	3914
33	137	3901
34	140	3864
35	143	3841
36	146	3819
37	153	3878
38	156	3854
39	159	3826
40	162	3811
41	168	3842
42	172	3829
43	175	3811
44	178	3791
45	183	3810
46	186	3786
47	189	3760
48	192	3740
49	195	3720
50	200	3721
51	203	3711
52	206	3694
53	210	3679
54	215	3710
55	220	3709
56	223	3692
57	228	3712
58	232	3712
59	236	3697
60	239	3686
61	242	3673
62	249	3707
63	252	3691
64	255	3673
65	258	3660
66	263	3671
67	266	3659
68	269	3641
69	272	3624
70	277	3635
71	281	3621
72	284	3608
73	287	3599
74	290	3585
75	295	3586
76	299	3586
77	302	3576
78	305	3563
79	314	3614
80	319	3624
81	323	3618
82	329	3636
83	333	3636
84	336	3626
85	340	3615
86	344	3619
87	348	3609
88	351	3596
89	354	3583
90	358	3579
91	362	3574
92	365	3563
93	368	3553
94	372	3547
95	377	3558
96	381	3548
97	384	3541
98	387	3528
99	392	3529
100	395	3520
101	400	3525
102	403	3515
103	407	3513
104	411	3504
105	416	3509
106	420	3505
107	424	3509
108	428	3503
109	432	3501
110	436	3494
111	440	3493
112	445	3494
113	448	3485
114	451	3477
115	456	3479
116	460	3472
117	463	3462
118	466	3452
119	469	3443
120	475	3456
121	478	3446
122	482	3438
123	485	3428
124	490	3435
125	494	3432
126	498	3428
127	502	3426
128	507	3426
129	510	3417
130	514	3415
131	519	3413
132	523	3411
133	527	3408
134	531	3405
135	537	3412
136	541	3412
137	545	3408
138	549	3404
139	555	3412
140	560	3415
141	564	3412
142	570	3419
143	574	3416
144	578	3413
145	582	3408
146	587	3411
147	591	3407
148	595	3403
149	602	3412
150	605	3404
151	609	3397
152	613	3394
153	618	3397
154	621	3388
155	627	3395
156	631	3392
157	638	3401
158	641	3395
159	645	3387
160	648	3380
161	652	3376
162	656	3369
163	659	3360
164	662	3351
165	667	3351
166	670	3343
167	673	3335
168	676	3328
169	679	3319
170	685	3320
171	689	3317
172	692	3310
173	696	3306
174	701	3308
175	704	3300
176	707	3291
177	711	3287
178	717	3290
179	721	3285
180	724	3276
181	727	3268
182	732	3268
183	736	3265
184	739	3255
185	741	3246
186	745	3240
187	750	3243
188	754	3236
189	757	3227
190	759	3218
191	764	3217
192	767	3210
193	770	3202
194	774	3195
195	777	3187
196	782	3189
197	785	3181
198	788	3173
199	791	3164
200	794	3157
201	799	3157
202	802	3151
203	805	3144
204	808	3136
